https://w3id.org/mint/modelCatalog#Parameter,http://www.w3.org/2000/01/rdf-schema#label,http://purl.org/dc/terms/description,https://w3id.org/mint/modelCatalog#hasDefaultValue,https://w3id.org/mint/modelCatalog#hasDataType
pihm_flooding_threshold,flooding-threshold,,0.05,float
wgen_flagP,flagP,flag P,Rain_f_tavg,string
wgen_min_lon,min_lon,minimum longitude,24.15235,float
wgen_max_lon,max_lon,maximum longitude,27.74012,float
wgen_min_lat,min_lat,minimum latitude,6.700375,float
wgen_max_lat,max_lat,maximum latitude,9.335303,float
wgen_min_month,min_month,minimum month,6,float
wgen_max_month,max_month,maximum month,8,float
wgen_level,level,level,0.6,float
wgen_flagP_T,flagP,flagP,Tair_f_tavg,string
climcomp_datasource,dataset_source,dataset source,FLDAS,string
climcomp_flagP,flagP,flag P,Rain_f_tavg,string
climcomp_min_lon,min_lon,minimum longitude,24.15235,float
climcomp_max_lon,max_lon,maximum longitude,27.74012,float
climcomp_min_lat,min_lat,minimum latitude,6.700375,float
climcomp_max_lat,max_lat,maximum latitude,9.335303,float
climcomp_min_month,min_month,minimum month,6,float
climcomp_max_month,max_month,maximum month,8,float
climcomp_year,year,year,2017,float
cycles_planting-day-1,cycles_planting-day-1,planting day 1,100,int
cycles_planting-day-1-duration,cycles_planting-day-1-duration,planting day 1 duration,10,int
cycles_planting-day-2,cycles_planting-day-2,planting day 2,225,int
cycles_planting-day-2-duration,cycles_planting-day-2-duration,planting day 2 duration,10,int
pihm_start-date,pihm_start-date,start date,1/1/2017,string
pihm_end-date,pihm_end-date,end date, 2017-12-31,string
pihm_region-name,pihm_region-name,region name,pg,string
fldas_to_pihm_start-date,start-date,,1/1/2017,string
fldas_to_pihm_end-date,end-date,,12/31/2017,string
pihm_cropland_to_points_num-points,num-points,,1,int
pihm_forcing_to_cycles_weather_start-date,start-date,,1/1/2017,string
pihm_forcing_to_cycles_weather_end-date,end-date,,12/31/2017,string
pihm_flooding_netcdf_start-date,start-date,,1/1/2017,string
pihm_flooding_netcdf_flooding-threshold,flooding-threshold,,0.05,float
cycles_to_crop_start-date,start-date,,1/1/2017,string
economic_to_vis_start_date,start-date,,1/1/2017,string
economic_to_vis_region_name,region-name,,pg,string
